word	link
시인	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733243/MOV000256708_700X466.mp4
슬그머니	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735636/MOV000256106_700X466.mp4
이불	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627720/MOV000256690_700X466.mp4
침구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627720/MOV000256690_700X466.mp4
덮다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627720/MOV000256690_700X466.mp4
켜다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733623/MOV000258031_700X466.mp4
켜지다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733623/MOV000258031_700X466.mp4
전깃불	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733623/MOV000258031_700X466.mp4
가입	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627638/MOV000249914_700X466.mp4
등록	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627638/MOV000249914_700X466.mp4
넣다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627514/MOV000252134_700X466.mp4
담그다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627514/MOV000252134_700X466.mp4
감	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627246/MOV000250355_700X466.mp4
물러나다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627218/MOV000250854_700X466.mp4
붓다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
부풀다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
부풀리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
부어있다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
수제비	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785420/MOV000357078_700X466.mp4
창원	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243580/MOV000257576_700X466.mp4
창원시	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243580/MOV000257576_700X466.mp4
도토리	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734824/MOV000252333_700X466.mp4
만	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001911/MOV000359488_700X466.mp4
낙하산	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220729/1003210/MOV000359585_700X466.mp4
퇴직금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001934/MOV000359511_700X466.mp4
공수부대	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001894/MOV000359471_700X466.mp4
등록비	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005079/MOV000359807_700X466.mp4
박학	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735141/MOV000244056_700X466.mp4
유식	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735141/MOV000244056_700X466.mp4
뽀뽀	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
입맞춤	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
키스	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
맞추다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
빼버리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735500/MOV000245496_700X466.mp4
회비	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732079/MOV000241191_700X466.mp4
이어 내리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735495/MOV000239691_700X466.mp4
전통	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735495/MOV000239691_700X466.mp4
내려오다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735495/MOV000239691_700X466.mp4
고등학생	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732064/MOV000240331_700X466.mp4
고교생	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732064/MOV000240331_700X466.mp4
회원	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191001/623668/MOV000241315_700X466.mp4
호두	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733695/MOV000237665_700X466.mp4
탈퇴	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735467/MOV000234594_700X466.mp4
이론	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347161/MOV000302183_700X466.mp4
쓰다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347161/MOV000302183_700X466.mp4
별로	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735415/MOV000245868_700X466.mp4
그다지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735415/MOV000245868_700X466.mp4
필기	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
쓰다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
적다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
쓰기	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
저술	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
서술	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
