,word	link
162,시인	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733243/MOV000256708_700X466.mp4
163,슬그머니	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735636/MOV000256106_700X466.mp4
164,이불	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627720/MOV000256690_700X466.mp4
165,침구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627720/MOV000256690_700X466.mp4
166,덮다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627720/MOV000256690_700X466.mp4
167,켜다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733623/MOV000258031_700X466.mp4
168,켜지다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733623/MOV000258031_700X466.mp4
169,전깃불	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733623/MOV000258031_700X466.mp4
170,가입	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627638/MOV000249914_700X466.mp4
171,등록	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627638/MOV000249914_700X466.mp4
172,넣다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627514/MOV000252134_700X466.mp4
173,담그다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191015/627514/MOV000252134_700X466.mp4
174,감	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627246/MOV000250355_700X466.mp4
175,물러나다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627218/MOV000250854_700X466.mp4
176,붓다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
177,부풀다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
178,부풀리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
179,부어있다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735177/MOV000252955_700X466.mp4
180,수제비	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785420/MOV000357078_700X466.mp4
181,창원	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243580/MOV000257576_700X466.mp4
182,창원시	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160109/243580/MOV000257576_700X466.mp4
183,도토리	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/734824/MOV000252333_700X466.mp4
184,만	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001911/MOV000359488_700X466.mp4
185,낙하산	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220729/1003210/MOV000359585_700X466.mp4
186,퇴직금	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001934/MOV000359511_700X466.mp4
187,공수부대	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001894/MOV000359471_700X466.mp4
188,등록비	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005079/MOV000359807_700X466.mp4
189,박학	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735141/MOV000244056_700X466.mp4
190,유식	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735141/MOV000244056_700X466.mp4
191,뽀뽀	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
192,입맞춤	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
193,키스	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
194,맞추다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151225/234459/MOV000245506_700X466.mp4
195,빼버리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735500/MOV000245496_700X466.mp4
196,회비	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732079/MOV000241191_700X466.mp4
197,이어 내리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735495/MOV000239691_700X466.mp4
198,전통	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735495/MOV000239691_700X466.mp4
199,내려오다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735495/MOV000239691_700X466.mp4
200,고등학생	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732064/MOV000240331_700X466.mp4
201,고교생	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732064/MOV000240331_700X466.mp4
202,회원	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191001/623668/MOV000241315_700X466.mp4
203,호두	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733695/MOV000237665_700X466.mp4
204,탈퇴	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735467/MOV000234594_700X466.mp4
205,이론	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347161/MOV000302183_700X466.mp4
206,쓰다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/347161/MOV000302183_700X466.mp4
207,별로	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735415/MOV000245868_700X466.mp4
208,그다지	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735415/MOV000245868_700X466.mp4
209,필기	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
210,쓰다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
211,적다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
212,쓰기	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
213,저술	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
214,서술	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629652/MOV000242478_700X466.mp4
215,미미하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005863/MOV000359865_700X466.mp4
216,(입을)닫다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735726/MOV000241944_700X466.mp4
217,말없다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
218,묵묵하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
219,침묵	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
220,함구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735400/MOV000241291_700X466.mp4
221,놀리다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160105/240984/MOV000252440_700X466.mp4
222,순서	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
223,목차	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
224,순번	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
225,순위	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
226,절차	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
227,차례	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
228,프로그램	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630930/MOV000253300_700X466.mp4
229,숙모	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241569/MOV000253593_700X466.mp4
230,작은어머니	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241569/MOV000253593_700X466.mp4
231,솔직하다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735253/MOV000254953_700X466.mp4
232,정직	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735253/MOV000254953_700X466.mp4
233,특히	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
234,각별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
235,별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
236,특별	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
237,특수	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
238,특별히	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191025/630825/MOV000234808_700X466.mp4
239,뜨다	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733646/MOV000251503_700X466.mp4
240,개안	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733646/MOV000251503_700X466.mp4
241,장롱	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005898/MOV000359900_700X466.mp4
242,사기꾼	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732494/MOV000245616_700X466.mp4
243,축구	http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630160/MOV000259180_700X466.mp4
